productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extEnergyCost,extPowerCost,extMight,extCardType,extTag,extDomain,extFlavorText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
662881,Viktor - Leader,Viktor Leader,https://tcgplayer-cdn.tcgplayer.com/product/662881_200w.jpg,89,24528,https://cpt.tcgcsv.com/F9k7,2025-11-14T16:11:01,0,Promo,246/298,4,1,4,Champion Unit,Viktor;Zaun,Order,"<em>""I am the first of many.""</em>",25.54,40.0,999.99,25.8,,Foil
662882,Jinx - Rebel,Jinx Rebel,https://tcgplayer-cdn.tcgplayer.com/product/662882_200w.jpg,89,24528,https://cpt.tcgcsv.com/G9k7,2025-11-14T16:08:47.113,0,Promo,202/298,5,1,5,Champion Unit,Jinx;Zaun,Chaos,"<em>""Rules are made to be broken. Like buildings! Or people!""</em>",45.0,86.0,999.99,62.61,,Foil
662884,Lee Sin - Ascetic,Lee Sin Ascetic,https://tcgplayer-cdn.tcgplayer.com/product/662884_200w.jpg,89,24528,https://cpt.tcgcsv.com/J9k7,2025-11-14T16:09:57.157,0,Promo,078/298,5,1,5,Champion Unit,Ionia;Lee Sin,Calm,"<em>""Let us see whose spirit is stronger.""</em>",23.35,40.8,999.99,17.4,,Foil
662885,Sett - The Boss,Sett The Boss,https://tcgplayer-cdn.tcgplayer.com/product/662885_200w.jpg,89,24528,https://cpt.tcgcsv.com/K9k7,2025-11-14T16:02:29.557,0,Promo,269/298,,,,Legend,Sett,Body;Order,,9.96,19.25,999.99,12.19,,Foil
662886,Teemo - Swift Scout,Teemo Swift Scout,https://tcgplayer-cdn.tcgplayer.com/product/662886_200w.jpg,89,24528,https://cpt.tcgcsv.com/L9k7,2025-11-14T16:03:10.467,0,Promo,263/298,0,0,0,Legend,Teemo,Mind;Chaos,,145.52,148.5,199.99,30.17,,Foil
662887,Miss Fortune - Bounty Hunter,Miss Fortune Bounty Hunter,https://tcgplayer-cdn.tcgplayer.com/product/662887_200w.jpg,89,24528,https://cpt.tcgcsv.com/M9k7,2025-11-14T16:00:21.623,0,Promo,267/298,0,0,0,Legend,Miss Fortune,Body;Chaos,,,,,,,
662888,Viktor - Herald of the Arcane,Viktor Herald of the Arcane,https://tcgplayer-cdn.tcgplayer.com/product/662888_200w.jpg,89,24528,https://cpt.tcgcsv.com/N9k7,2025-11-14T16:10:49.517,0,Promo,265/298,0,0,0,Legend,Viktor,Mind;Order,,19.8,23.13,999.99,20.03,,Foil
662889,Leona - Radiant Dawn,Leona Radiant Dawn,https://tcgplayer-cdn.tcgplayer.com/product/662889_200w.jpg,89,24528,https://cpt.tcgcsv.com/P9k7,2025-11-14T16:12:26.55,0,Promo,261/298,0,0,0,Legend,Leona,Calm;Order,,11.99,17.0,23.78,10.3,,Foil
662890,Yasuo - Unforgiven,Yasuo Unforgiven,https://tcgplayer-cdn.tcgplayer.com/product/662890_200w.jpg,89,24528,https://cpt.tcgcsv.com/Q9k7,2025-11-14T16:12:09.057,0,Promo,259/298,0,0,0,Legend,Yasuo,Calm;Chaos,,70.0,81.19,200.0,14.32,,Foil
662891,Ahri - Nine-Tailed Fox,Ahri Nine Tailed Fox,https://tcgplayer-cdn.tcgplayer.com/product/662891_200w.jpg,89,24528,https://cpt.tcgcsv.com/R9k7,2026-03-17T16:09:30.61,1,Promo,255/298,0,0,0,Legend,Ahri,Calm;Mind,,199.0,199.0,299.99,96.13,,Foil
662892,Lee Sin - Blind Monk,Lee Sin Blind Monk,https://tcgplayer-cdn.tcgplayer.com/product/662892_200w.jpg,89,24528,https://cpt.tcgcsv.com/S9k7,2025-11-14T16:12:48.617,0,Promo,257/298,0,0,0,Legend,Lee Sin,Calm;Body,,3.0,6.67,999.99,4.1,,Foil
662894,Jinx - Loose Cannon,Jinx Loose Cannon,https://tcgplayer-cdn.tcgplayer.com/product/662894_200w.jpg,89,24528,https://cpt.tcgcsv.com/V9k7,2025-11-14T16:07:51.423,0,Promo,251/298,0,0,0,Legend,Jinx,Fury;Chaos,,168.29,169.99,175.0,35.06,,Foil
662895,Darius - Hand of Noxus,Darius Hand of Noxus,https://tcgplayer-cdn.tcgplayer.com/product/662895_200w.jpg,89,24528,https://cpt.tcgcsv.com/W9k7,2025-11-14T16:05:35.507,0,Promo,253/298,0,0,0,Legend,Darius,Fury;Order,,8.07,13.04,39.99,10.96,,Foil
662896,Kai'Sa - Daughter of the Void,KaiSa Daughter of the Void,https://tcgplayer-cdn.tcgplayer.com/product/662896_200w.jpg,89,24528,https://cpt.tcgcsv.com/X9k7,2025-11-14T16:09:38.127,0,Promo,247/298,0,0,0,Legend,Kai'Sa,Fury;Mind,,30.0,49.9,79.95,28.33,,Foil
662897,Volibear - Relentless Storm,Volibear Relentless Storm,https://tcgplayer-cdn.tcgplayer.com/product/662897_200w.jpg,89,24528,https://cpt.tcgcsv.com/Z9k7,2025-11-14T16:11:34.463,0,Promo,249/298,0,0,0,Legend,Volibear,Fury;Body,,14.9,46.0,999.99,12.6,,Foil
662898,Teemo - Scout (GG EZ),Teemo Scout GG EZ,https://tcgplayer-cdn.tcgplayer.com/product/662898_200w.jpg,89,24528,https://cpt.tcgcsv.com/-9k7,2026-01-06T16:34:03.223,1,Promo,197b/298,2,0,1,Champion Unit,Bandle City;Teemo;Yordle,Chaos,"<em>""Reporting in!""</em>",700.0,1000.0,8500.0,719.4,,Foil
662899,Mind Rune,Mind Rune,https://tcgplayer-cdn.tcgplayer.com/product/662899_200w.jpg,89,24528,https://cpt.tcgcsv.com/_9k7,2026-02-24T13:31:54.987,1,Promo,089b/298,0,0,0,Rune,,Mind,,4.88,7.44,999.99,6.9,,Foil
662900,Fury Rune,Fury Rune,https://tcgplayer-cdn.tcgplayer.com/product/662900_200w.jpg,89,24528,https://cpt.tcgcsv.com/0bk7,2025-11-14T16:07:03.287,0,Promo,007b/298,0,0,0,Rune,,Fury,,2.3,4.48,999.99,2.95,,Foil
662901,Order Rune,Order Rune,https://tcgplayer-cdn.tcgplayer.com/product/662901_200w.jpg,89,24528,https://cpt.tcgcsv.com/2bk7,2025-11-14T16:01:20.403,0,Promo,214b/298,0,0,0,Rune,,Order,,2.01,5.0,12.12,3.38,,Foil
662902,Calm Rune,Calm Rune,https://tcgplayer-cdn.tcgplayer.com/product/662902_200w.jpg,89,24528,https://cpt.tcgcsv.com/3bk7,2025-11-14T16:04:19.073,0,Promo,042b/298,0,0,0,Rune,,Calm,,3.99,5.44,999.99,4.5,,Foil
662903,Body Rune,Body Rune,https://tcgplayer-cdn.tcgplayer.com/product/662903_200w.jpg,89,24528,https://cpt.tcgcsv.com/5bk7,2025-11-14T16:04:06.78,0,Promo,126b/298,0,0,0,Rune,,Body,,2.99,4.8,999.99,2.98,,Foil
662904,Chaos Rune,Chaos Rune,https://tcgplayer-cdn.tcgplayer.com/product/662904_200w.jpg,89,24528,https://cpt.tcgcsv.com/6bk7,2025-11-14T16:04:35.777,0,Promo,166b/298,0,0,0,Rune,,Chaos,,6.0,9.21,999.99,6.85,,Foil
662906,Stacked Deck,Stacked Deck,https://tcgplayer-cdn.tcgplayer.com/product/662906_200w.jpg,89,24528,https://cpt.tcgcsv.com/8bk7,2025-11-14T16:02:36.263,0,Promo,183/298,1,0,0,Spell,,Chaos,"<em>""Just lucky, I guess.""</em>",9.95,13.35,999.99,11.35,,Foil
662907,Stalwart Poro,Stalwart Poro,https://tcgplayer-cdn.tcgplayer.com/product/662907_200w.jpg,89,24528,https://cpt.tcgcsv.com/9bk7,2026-03-13T19:17:27.487,1,Promo,052/298,2,0,2,Unit,Poro,Calm,<em>It suits him.</em>,0.3,0.77,999.99,0.43,,Foil
662908,Pouty Poro,Pouty Poro,https://tcgplayer-cdn.tcgplayer.com/product/662908_200w.jpg,89,24528,https://cpt.tcgcsv.com/bbk7,2026-03-13T19:39:05.223,1,Promo,013/298,2,0,2,Unit,Poro,Fury,"<em>""Braum takes medicine too, see?"" -Braum",0.15,0.51,9.99,0.38,,Foil
662909,Vengeance,Vengeance,https://tcgplayer-cdn.tcgplayer.com/product/662909_200w.jpg,89,24528,https://cpt.tcgcsv.com/cbk7,2025-11-14T16:03:45.287,0,Promo,229/298,4,2,0,Spell,,Order,<em>A brief moment of turmoil -- then peace.</em>,0.12,0.48,9.99,0.28,,Foil
662910,Challenge,Challenge,https://tcgplayer-cdn.tcgplayer.com/product/662910_200w.jpg,89,24528,https://cpt.tcgcsv.com/dbk7,2025-11-14T16:04:26.157,0,Promo,128/298,2,1,0,Spell,,Body,"<em>""He started it when he hit me back!""</em>",0.44,0.99,9.99,0.56,,Foil
662911,Consult the Past,Consult the Past,https://tcgplayer-cdn.tcgplayer.com/product/662911_200w.jpg,89,24528,https://cpt.tcgcsv.com/fbk7,2026-03-13T19:43:19.23,1,Promo,083/298,4,0,0,Spell,,Mind,,0.3,0.62,19.99,0.56,,Foil
662912,Vanguard Captain,Vanguard Captain,https://tcgplayer-cdn.tcgplayer.com/product/662912_200w.jpg,89,24528,https://cpt.tcgcsv.com/gbk7,2025-11-14T16:03:21.94,0,Promo,218/298,3,1,3,Unit,Demacia;Elite,Order,"<em>""Soldiers, to me!""</em>",0.15,0.4,5.0,0.36,,Foil
